"TypeNamespacePrefix","TypeName","QualifiedType","FacetName","FacetValue","Definition"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","72","Exceeds Mechanical Limits"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","73","Odometer may be Altered"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","74","Odometer Replaced"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","75","Reading at Time of Renewal"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","76","Odometer Discrepancy"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","77","Call Title Division"
"aamva_d20","BrandCodeSimpleType","aamva_d20:BrandCodeSimpleType","enumeration","78","Rectify Previous Exceeds Mechanical Limits Brand"
"aamva_d20","BrandDamagePercentageCategoryCodeSimpleType","aamva_d20:BrandDamagePercentageCategoryCodeSimpleType","enumeration","R","Reported"
"aamva_d20","BrandDamagePercentageCategoryCodeSimpleType","aamva_d20:BrandDamagePercentageCategoryCodeSimpleType","enumeration","T","Threshold"
"aamva_d20","BranderCategoryCodeSimpleType","aamva_d20:BranderCategoryCodeSimpleType","enumeration","I","Insurance Carrier"
"aamva_d20","BranderCategoryCodeSimpleType","aamva_d20:BranderCategoryCodeSimpleType","enumeration","J","Junk Yard"
"aamva_d20","BranderCategoryCodeSimpleType","aamva_d20:BranderCategoryCodeSimpleType","enumeration","S","State"
"aamva_d20","BranderCategoryCodeSimpleType","aamva_d20:BranderCategoryCodeSimpleType","enumeration","V","Salvage Yard"
"aamva_d20","BrandVehicleDispositionCodeSimpleType","aamva_d20:BrandVehicleDispositionCodeSimpleType","enumeration","01","Scrapped"
"aamva_d20","BrandVehicleDispositionCodeSimpleType","aamva_d20:BrandVehicleDispositionCodeSimpleType","enumeration","02","Sold Out Of State"
"aamva_d20","BrandVehicleDispositionCodeSimpleType","aamva_d20:BrandVehicleDispositionCodeSimpleType","enumeration","03","Stolen or Never Recovered"
"aamva_d20","BrandVehicleDispositionCodeSimpleType","aamva_d20:BrandVehicleDispositionCodeSimpleType","enumeration","04","Crushed"
"aamva_d20","BrandVehicleDispositionCodeSimpleType","aamva_d20:BrandVehicleDispositionCodeSimpleType","enumeration","09","Unknown"
"aamva_d20","CDLHolderCodeSimpleType","aamva_d20:CDLHolderCodeSimpleType","enumeration","1","The cited driver held a current CLP or CDL, or if no valid CLP/CDLlicense, his/her previous license was a CDL or his/her CLP had been disqualified and the citation had been issued prior to the expiration date of the CLP."
"aamva_d20","CDLHolderCodeSimpleType","aamva_d20:CDLHolderCodeSimpleType","enumeration","2","No - The cited driver has a current base license, has never held a license, or holds no current license and the previous license was a base license."
"aamva_d20","CDLHolderCodeSimpleType","aamva_d20:CDLHolderCodeSimpleType","enumeration","9","Unknown"
"aamva_d20","CMVCodeSimpleType","aamva_d20:CMVCodeSimpleType","enumeration","1","Commercial"
"aamva_d20","CMVCodeSimpleType","aamva_d20:CMVCodeSimpleType","enumeration","2","Noncommercial"
"aamva_d20","CMVCodeSimpleType","aamva_d20:CMVCodeSimpleType","enumeration","9","Unknown"
"aamva_d20","CountryCodeSimpleType","aamva_d20:CountryCodeSimpleType","enumeration","CAN","Canada"
"aamva_d20","CountryCodeSimpleType","aamva_d20:CountryCodeSimpleType","enumeration","USA","U.S.A."
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","ADM","Administrative Adjudication"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","CHA","Chancery Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","CIR","Circuit Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","CIT","City Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","CIV","Civil Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","COC","County Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","COR","Corporation Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","CRI","Criminal Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","DIS","District Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","DOT","Secretary USDOT"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","FED","U.S. District Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","GEN","General Court Martial"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","HUS","Hustings Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","JPC","Justice of Peace Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","JUS","Justice Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","JUV","Juvenile Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","LEC","Law & Equity Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","MAG","Magistrate Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","MAY","Mayor's Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","MUN","Municipal Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","OTH","Other"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","POL","Police Court"
"aamva_d20","CourtCategoryCodeSimpleType","aamva_d20:CourtCategoryCodeSimpleType","enumeration","SJC","Special Justice Court"
